product-name|price|bottles|link|inventory-count
David Large Massaï Beaujolais Nouveau 2018|49|1 x 750 ml|https://www.vivino.com/SG/en/david-large-massai-beaujolais-nouveau/w/6852744|6
David Large Dos Argenté Beaujolais Villages 2018 Blanc|55|1 x 750 ml|https://www.vivino.com/SG/en/david-large-dos-argente-beaujolais-villages-blanc/w/4953474|6
David Large Gamayhameha Beaujolais 2020|55|1 x 750 ml|https://www.vivino.com/SG/en/david-large-gamayhameha-beaujolais/w/7157086|6
Cháteau Thieuley Bordeaux 2015 Rouge|55|1 x 750 ml|https://www.vivino.com/SG/en/chateau-thieuley-bordeaux-merlot-cabernet-sauvignon/w/80155|6
Château Thieuley Made With Love 2018 Blanc|49|1 x 750 ml|https://www.vivino.com/SG/en/chateau-thieuley-made-with-love-blanc/w/7066926|6
H.M.S No. 29 Quai des Chartrons Bordeaux Supérieur 2014|40|1 x 750 ml|https://www.vivino.com/SG/en/h-m-s-bordeaux-superieur/w/5417770?ref=nav-search|6
H.M.S No. 29 Quai des Chartrons Bordeaux Supérieur 2016|40|1 x 750 ml|https://www.vivino.com/SG/en/h-m-s-bordeaux-superieur/w/5417770?ref=nav-search|6
Château Clos du Moulin Médoc 2016|49|1 x 750 ml|https://www.vivino.com/SG/en/clos-du-moulin-medoc/w/1958347|6
Château Grand Jean Bordeaux Supérieur 2019|44|1 x 750 ml|https://www.vivino.com/SG/en/grand-jean-bordeaux-superieur/w/1412346|6
Château Grand Jean Bordeaux 2019 Rouge|33|1 x 750 ml|https://www.vivino.com/SG/en/grand-jean-bordeaux/w/1146715|6
Château Grand Jean Entre-Deux-Mers 2020|33|1 x 750 ml|https://www.vivino.com/SG/en/grand-jean-entre-deux-mers/w/1159869|6
Château Grand Jean Moelleux Bordeaux 2015|33|1 x 750 ml|https://www.vivino.com/SG/en/grand-jean-bordeaux-moelleux/w/1832744|6
Château Carbonnieux La Croix de Carbonnieux Pessac-Léognan 2016 Blanc|65|1 x 750 ml|https://www.vivino.com/SG/en/chateau-carbonnieux-la-croix-de-carbonnieux-pessac-leognan-blanc/w/4139804|6
Château Carbonnieux La Croix de Carbonnieux Pessac-Léognan 2016 Rouge|69|1 x 750 ml|https://www.vivino.com/SG/en/chateau-carbonnieux-la-croix-de-carbonnieux-pessac-leognan/w/1747201|6
Château du Vallier Cadillac Côte de Bordeaux 2015 Rouge|45|1 x 750 ml|https://www.vivino.com/SG/en/chateau-du-vallier-cotes-de-bordeaux-ctes-de-bordeaux/w/1693375|6
Alain Poulet Crémant de Die NV|39|1 x 750 ml|https://www.vivino.com/SG/en/alain-poulet-cremant-de-die/w/1248006|6
Alain Poulet Clairette de Die Tradition NV|35|1 x 750 ml|https://www.vivino.com/SG/en/alain-poulet-clairette-de-die-tradition/w/1183175?ref=nav-search|6
Brunel de la Gardine Côtes du Rhône 2020 Rouge|39|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-cotes-du-rhone/w/1171835|6
Brunel de la Gardine Côtes du Rhône 2019 Blanc|39|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-cotes-du-rhone-blanc/w/5066714|6
Brunel de la Gardine Côtes du Rhône 2020 Blanc|39|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-cotes-du-rhone-blanc/w/5066714|6
Château de la Gardine Rasteau 2017|53|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-rasteau/w/1191289|6
Château de la Gardine Rasteau 2018|53|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-rasteau/w/1191289|6
Château de la Gardine Rasteau 2015|30|1 x 375 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-rasteau/w/1191289|6
Château de la Gardine Même Pas Peur Rasteau 2018|69|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-meme-pas-peur-rasteau/w/7132773|6
Château de la Gardine Châteauneuf du Pape 2018 Rouge|89|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-chateauneuf-du-pape/w/18017?year=2016&price_id=26545129|6
Château de la Gardine Châteauneuf du Pape 2015 Rouge|47|1 x 375 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-chateauneuf-du-pape/w/18017?year=2016&price_id=26545129|6
Château de la Gardine Peur Bleue 2018|98|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-peur-bleue/w/1187875?year=2018&price_id=26541805|6
Château de la Gardine Cuvée des Générations Marie-Léoncie 2017|118|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-chateauneuf-du-pape-cuvee-des-generations-marie-leoncie/w/2646970|6
Château de la Gardine Cuvée des Générations Marie-Léoncie 2018|118|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-chateauneuf-du-pape-cuvee-des-generations-marie-leoncie/w/2646970|6
Château de la Gardine Cuvée des Générations Gaston-Philippe 2017|148|1 x 750 ml|https://www.vivino.com/SG/en/chateau-de-la-gardine-chateauneuf-du-pape-cuvee-des-generations-gaston-philippe/w/18014|6
Brunel de la Gardine Crozes-Hermitage 2019|52|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-crozes-hermitage/w/1162957|6
Brunel de la Gardine Condrieu 2020 Blanc|87|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-condrieu/w/1162966|6
Brunel de la Gardine Cairanne 2019|45|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-cairanne/w/1148240?ref=nav-search|6
Brunel de la Gardine Hermitage 2017|93|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-hermitage/w/1162958|6
Brunel de la Gardine Cornas 2016|79|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-cornas/w/5066724|6
Brunel de la Gardine Saint Joseph 2018|54|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-saint-joseph/w/1162963|6
Brunel de la Gardine Gigondas 2018|55|1 x 750 ml|https://www.vivino.com/SG/en/brunel-de-la-gardine-gigondas/w/1162962|6
